X,Y,Name,description
-102.32948303,31.87549973,(no SSID),"Network ID: 00:02:6F:BA:E6:22
Encryption: Unknown
Time: 2024-11-16T17:06:35.000-08:00
Signal: -86.0
Accuracy: 11.0
Type: WIFI"
-102.32224274,31.85645866,121612-CV20mm56x112,"Network ID: 00:02:6F:EB:1A:5C
Encryption: WEP
Time: 2024-10-28T16:45:22.000-07:00
Signal: -88.0
Accuracy: 9.0
Type: WIFI"
-102.32730865,31.8457756,110125,"Network ID: 00:02:6F:EB:1A:B6
Encryption: WPA2
Time: 2024-10-28T16:43:46.000-07:00
Signal: -77.0
Accuracy: 9.0
Type: WIFI"
-102.31423187,31.88170815,EleganteSpecial,"Network ID: 00:02:6F:ED:4D:F8
Encryption: WPA2
Time: 2024-11-16T16:15:54.000-08:00
Signal: -81.0
Accuracy: 14.0
Type: WIFI"
-102.31735992,31.88187981,DIRECT-3F-HP Smart Tank 5100,"Network ID: 00:04:EA:AB:57:AF
Encryption: WPA2
Time: 2024-11-16T16:07:43.000-08:00
Signal: -55.0
Accuracy: 21.0
Type: WIFI"
-102.31259155,31.88041496,T3032503,"Network ID: 00:07:80:3F:6D:67
Encryption: WPA2
Time: 2024-11-16T16:13:42.000-08:00
Signal: -84.0
Accuracy: 12.0
Type: WIFI"
-102.32927704,31.87895966,(no SSID),"Network ID: 00:0D:97:0C:47:AE
Encryption: WPA2
Time: 2024-11-16T17:15:32.000-08:00
Signal: -82.0
Accuracy: 28.0
Type: WIFI"
-102.29349518,31.94308853,(no SSID),"Network ID: 00:0D:97:0C:4C:6D
Encryption: WPA2
Time: 2024-11-16T12:55:09.000-08:00
Signal: -90.0
Accuracy: 11.0
Type: WIFI"
-102.31889343,31.85980988,(no SSID),"Network ID: 00:0D:97:0C:4C:8B
Encryption: WPA2
Time: 2024-10-28T16:46:45.000-07:00
Signal: -87.0
Accuracy: 10.0
Type: WIFI"
-102.3236084,31.88062096,SubwayWIFI,"Network ID: 00:11:32:CE:F7:51
Encryption: WPA2
Time: 2024-11-16T15:55:13.000-08:00
Signal: -87.0
Accuracy: 9.0
Type: WIFI"
-102.32336426,31.88032722,SubwayWIFI,"Network ID: 00:11:32:CE:F7:52
Encryption: WPA2
Time: 2024-11-16T15:54:46.000-08:00
Signal: -89.0
Accuracy: 35.0
Type: WIFI"
-102.32284546,31.84985161,Odessa Office,"Network ID: 00:11:32:DC:EF:0F
Encryption: WPA2
Time: 2024-10-28T16:44:14.000-07:00
Signal: -76.0
Accuracy: 9.0
Type: WIFI"
-102.32284546,31.84985161,Odessa Office,"Network ID: 00:11:32:DC:EF:10
Encryption: WPA2
Time: 2024-10-28T16:44:14.000-07:00
Signal: -86.0
Accuracy: 9.0
Type: WIFI"
-102.31667328,31.87736511,ATT9xfI7Kg-EXT,"Network ID: 00:13:EF:D0:32:58
Encryption: WPA2
Time: 2024-11-16T16:31:30.000-08:00
Signal: -71.0
Accuracy: 12.0
Type: WIFI"
-102.31682587,31.87745094,ATT9xfI7Kg-EXT,"Network ID: 00:13:EF:D0:32:5B
Encryption: WPA2
Time: 2024-11-16T16:31:26.000-08:00
Signal: -90.0
Accuracy: 12.0
Type: WIFI"
-102.31469727,31.87972069,mojo1,"Network ID: 00:15:E9:15:8E:24
Encryption: WEP
Time: 2024-11-16T16:20:53.000-08:00
Signal: -89.0
Accuracy: 13.0
Type: WIFI"
-102.32224274,31.85645866,tl-sncpnt-ne,"Network ID: 00:17:C5:E5:94:C7
Encryption: WPA2
Time: 2024-10-28T16:45:22.000-07:00
Signal: -74.0
Accuracy: 9.0
Type: WIFI"
-102.32180023,31.88038445,(no SSID),"Network ID: 00:18:05:12:88:A7
Encryption: WPA2
Time: 2024-11-16T15:58:10.000-08:00
Signal: -67.0
Accuracy: 16.0
Type: WIFI"
-102.31896973,31.87625122,VIZIOCastDisplay2140,"Network ID: 00:19:9D:FF:06:2E
Encryption: Unknown
Time: 2024-11-16T16:37:00.000-08:00
Signal: -85.0
Accuracy: 11.0
Type: WIFI"
-102.33023071,31.87489128,Zane's Room,"Network ID: 00:19:9D:FF:88:1A
Encryption: Unknown
Time: 2024-11-16T17:06:23.000-08:00
Signal: -90.0
Accuracy: 12.0
Type: WIFI"
-102.32169342,31.87160683,Master Suzanne's Bedroom,"Network ID: 00:19:9D:FF:CE:1B
Encryption: Unknown
Time: 2024-11-16T15:28:12.000-08:00
Signal: -85.0
Accuracy: 29.0
Type: WIFI"
-102.3253479,31.86670876,(no SSID),"Network ID: 00:19:C9:00:10:EF
Encryption: WPA2
Time: 2024-11-16T17:02:24.000-08:00
Signal: -79.0
Accuracy: 11.0
Type: WIFI"
-102.32089233,31.8694706,(no SSID),"Network ID: 00:19:C9:0F:C9:B5
Encryption: WPA2
Time: 2024-11-16T16:57:03.000-08:00
Signal: -85.0
Accuracy: 11.0
Type: WIFI"
-102.32436371,31.8726635,linksys,"Network ID: 00:1A:70:FA:15:50
Encryption: WEP
Time: 2024-11-16T15:26:05.000-08:00
Signal: -85.0
Accuracy: 62.0
Type: WIFI"
-102.31448364,31.87930107,Belkin_G_Plus_MIMO_D82315,"Network ID: 00:1C:DF:D8:23:15
Encryption: Unknown
Time: 2024-11-16T16:21:01.000-08:00
Signal: -72.0
Accuracy: 13.0
Type: WIFI"
-102.31783295,31.88049889,Arris-5A42-5G-2.4G-ext,"Network ID: 00:1D:43:A0:0B:84
Encryption: WPA2
Time: 2024-11-16T16:19:44.000-08:00
Signal: -85.0
Accuracy: 11.0
Type: WIFI"
-102.317276,31.88057137,Arris-5A42-5G-5G-ext,"Network ID: 00:1D:43:A0:0B:87
Encryption: WPA2
Time: 2024-11-16T16:19:36.000-08:00
Signal: -93.0
Accuracy: 13.0
Type: WIFI"
-102.3212204,31.87025833,NETGEAR,"Network ID: 00:1F:33:30:BC:BE
Encryption: WPA
Time: 2024-11-16T16:56:46.000-08:00
Signal: -88.0
Accuracy: 12.0
Type: WIFI"
-102.32257843,31.86973,linksys,"Network ID: 00:21:29:72:1A:ED
Encryption: WEP
Time: 2024-11-16T16:58:45.000-08:00
Signal: -69.0
Accuracy: 10.0
Type: WIFI"
-102.34114075,31.83543587,OdessaSignalShopRed,"Network ID: 00:21:A4:31:B7:F4
Encryption: Unknown
Time: 2024-10-28T16:40:18.000-07:00
Signal: -91.0
Accuracy: 3.0
Type: WIFI"
-102.3436203,31.83621979,OdessaSignalShopYellow,"Network ID: 00:21:A4:31:C9:59
Encryption: Unknown
Time: 2024-10-28T16:32:38.000-07:00
Signal: -85.0
Accuracy: 7.0
Type: WIFI"
-102.32730865,31.8457756,Head End NW7/IA870,"Network ID: 00:22:3B:0D:29:D3
Encryption: WPA2
Time: 2024-10-28T16:43:46.000-07:00
Signal: -88.0
Accuracy: 9.0
Type: WIFI"
-102.32767487,31.87493324,MR-G,"Network ID: 00:22:3F:A7:06:59
Encryption: WPA2
Time: 2024-11-16T15:42:35.000-08:00
Signal: -88.0
Accuracy: 3.0
Type: WIFI"
-102.31909943,31.85978127,(no SSID),"Network ID: 00:22:90:D9:5B:40
Encryption: WPA2
Time: 2024-10-28T16:46:26.000-07:00
Signal: -84.0
Accuracy: 10.0
Type: WIFI"
-102.31909943,31.85978127,(no SSID),"Network ID: 00:22:90:D9:5B:41
Encryption: WPA2
Time: 2024-10-28T16:46:26.000-07:00
Signal: -81.0
Accuracy: 10.0
Type: WIFI"
-102.31879425,31.85984802,(no SSID),"Network ID: 00:22:90:D9:5B:42
Encryption: WPA
Time: 2024-10-28T16:47:05.000-07:00
Signal: -84.0
Accuracy: 9.0
Type: WIFI"
-102.31909943,31.85978127,(no SSID),"Network ID: 00:22:90:D9:5B:43
Encryption: WPA
Time: 2024-10-28T16:46:26.000-07:00
Signal: -87.0
Accuracy: 10.0
Type: WIFI"
-102.32423401,31.87078476,Mosher,"Network ID: 00:23:69:AB:D7:DC
Encryption: WPA
Time: 2024-11-16T17:11:25.000-08:00
Signal: -72.0
Accuracy: 38.0
Type: WIFI"
-102.31349945,31.88211632,sdp5g,"Network ID: 00:25:CA:2F:51:CB
Encryption: WPA2
Time: 2024-11-16T16:15:38.000-08:00
Signal: -84.0
Accuracy: 15.0
Type: WIFI"
-102.32473755,31.84812546,KeepTruckin Hotspot - 01336425,"Network ID: 00:25:CA:30:99:65
Encryption: WPA2
Time: 2024-10-28T16:44:01.000-07:00
Signal: -80.0
Accuracy: 9.0
Type: WIFI"
