X,Y,Z,Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,xcoord,ycoord
-102.328743,31.87726402,0,(no SSID),"Network ID: 00:02:6F:BA:E6:22
Encryption: Unknown
Time: 2024-11-16T20:43:44.000-08:00
Signal: -77.0
Accuracy: 2.0
Type: WIFI",,,,,-1,0,-1,,,-102.328743,31.87726402
-102.3146439,31.88213158,0,EleganteSpecial,"Network ID: 00:02:6F:ED:4D:F8
Encryption: WPA2
Time: 2024-11-16T21:16:21.000-08:00
Signal: -84.0
Accuracy: 2.5
Type: WIFI",,,,,-1,0,-1,,,-102.3146439,31.88213158
-102.3131256,31.88150787,0,T3032503,"Network ID: 00:07:80:3F:6D:67
Encryption: WPA2
Time: 2024-11-16T21:13:23.000-08:00
Signal: -99.0
Accuracy: 2.1
Type: WIFI",,,,,-1,0,-1,,,-102.3131256,31.88150787
-102.3233337,31.88084984,0,SubwayWIFI,"Network ID: 00:11:32:CE:F7:51
Encryption: WPA2
Time: 2024-11-16T20:55:12.000-08:00
Signal: -81.0
Accuracy: 2.3
Type: WIFI",,,,,-1,0,-1,,,-102.3233337,31.88084984
-102.3233337,31.88084984,0,SubwayWIFI,"Network ID: 00:11:32:CE:F7:52
Encryption: WPA2
Time: 2024-11-16T20:55:12.000-08:00
Signal: -71.0
Accuracy: 1.8
Type: WIFI",,,,,-1,0,-1,,,-102.3233337,31.88084984
-102.3167954,31.87738228,0,ATT9xfI7Kg-EXT,"Network ID: 00:13:EF:D0:32:58
Encryption: WPA2
Time: 2024-11-16T21:31:25.000-08:00
Signal: -79.0
Accuracy: 2.3
Type: WIFI",,,,,-1,0,-1,,,-102.3167954,31.87738228
-102.3166809,31.87729263,0,ATT9xfI7Kg-EXT,"Network ID: 00:13:EF:D0:32:5B
Encryption: WPA2
Time: 2024-11-16T21:31:28.000-08:00
Signal: -89.0
Accuracy: 2.3
Type: WIFI",,,,,-1,0,-1,,,-102.3166809,31.87729263
-102.3234787,31.87952995,0,EXPRESS,"Network ID: 00:18:0A:7B:E5:25
Encryption: WPA2
Time: 2024-11-16T20:57:07.000-08:00
Signal: -84.0
Accuracy: 2.3
Type: WIFI",,,,,-1,0,-1,,,-102.3234787,31.87952995
-102.3211212,31.8711338,0,Master Suzanne's Bedroom,"Network ID: 00:19:9D:FF:CE:1B
Encryption: Unknown
Time: 2024-11-16T20:28:38.000-08:00
Signal: -99.0
Accuracy: 2.2
Type: WIFI",,,,,-1,0,-1,,,-102.3211212,31.8711338
-102.3216095,31.86898422,0,(no SSID),"Network ID: 00:19:C9:0F:C9:B5
Encryption: WPA2
Time: 2024-11-16T21:57:37.000-08:00
Signal: -99.0
Accuracy: 2.0
Type: WIFI",,,,,-1,0,-1,,,-102.3216095,31.86898422
-102.3237686,31.87320137,0,linksys,"Network ID: 00:1A:70:FA:15:50
Encryption: WEP
Time: 2024-11-16T20:26:02.000-08:00
Signal: -85.0
Accuracy: 2.0
Type: WIFI",,,,,-1,0,-1,,,-102.3237686,31.87320137
-102.3149033,31.87996674,0,Belkin_G_Plus_MIMO_D82315,"Network ID: 00:1C:DF:D8:23:15
Encryption: Unknown
Time: 2024-11-16T21:18:49.000-08:00
Signal: -88.0
Accuracy: 2.1
Type: WIFI",,,,,-1,0,-1,,,-102.3149033,31.87996674
-102.3178787,31.88046646,0,Arris-5A42-5G-2.4G-ext,"Network ID: 00:1D:43:A0:0B:84
Encryption: WPA2
Time: 2024-11-16T21:19:43.000-08:00
Signal: -89.0
Accuracy: 2.8
Type: WIFI",,,,,-1,0,-1,,,-102.3178787,31.88046646
-102.3179245,31.88002205,0,Arris-5A42-5G-5G-ext,"Network ID: 00:1D:43:A0:0B:87
Encryption: WPA2
Time: 2024-11-16T21:19:53.000-08:00
Signal: -88.0
Accuracy: 2.2
Type: WIFI",,,,,-1,0,-1,,,-102.3179245,31.88002205
